
--- chase, drag +300 px, button held still 5000 ms
  elapsed   rawDt   inYaw   lookYaw
    28.705 42.6163   -0.21    0.1174
    28.804  0.0992       0    0.1871
    28.838  0.0336       0    0.1967
    28.938  0.1672       0    0.2074
    29.038  0.1167       0    0.2095
    29.054  0.0166       0    0.2096
    29.105  0.0501       0    0.2099
    29.138  0.0333       0    0.2099
    29.188  0.0499       0      0.21
    29.288  0.1001       0      0.21
    29.321  0.0333       0      0.21
    29.338  0.0167       0      0.21
    29.354  0.0158       0      0.21
    29.371  0.0175       0      0.21
    29.387  0.0159       0      0.21
    29.404  0.0171       0      0.21
    29.504  0.4165       0      0.21
    29.521   0.017       0      0.21
    29.621  0.6332       0      0.21
    29.654  0.0334       0      0.21
    29.671  0.0166       0      0.21
    29.688  0.0168       0      0.21
    29.754  0.0666       0      0.21
    29.821  0.0666       0      0.21
    29.921     0.1       0      0.21
    30.021  0.0996       0      0.21
    30.037  0.0168       0      0.21
    30.088  0.0502       0      0.21
    30.188  0.2334       0      0.21
    30.204  0.0167       0      0.21
    30.221  0.0166       0      0.21
    30.288  0.0666       0      0.21
    30.304  0.0161       0      0.21
    30.388   0.084       0      0.21
    30.403  0.0157       0      0.21
     30.47  0.0667       0      0.21
    30.488  0.0175       0      0.21
    30.504  0.0162       0      0.21
    30.525  0.0211       0      0.21
    30.538  0.0128       0      0.21
    30.638  0.0167       0      0.21
    30.738  0.0166       0      0.21
    30.837  0.0482       0      0.21
    31.037   0.317       0      0.21
    31.154  0.0832       0      0.21
    31.287  0.1499       0      0.21
    31.421  0.3833       0      0.21
    31.554  0.6835       0      0.21
    31.703  0.0334       0      0.21
    31.903  0.0831       0      0.21
    32.037   0.096       0      0.21
    32.087  0.0165       0      0.21
     32.22  0.0167       0      0.21
     32.27  0.0163       0      0.21
     32.32  0.0165       0      0.21
    32.454  0.0166       0      0.21
    32.537  0.0173       0      0.21
     32.67  0.0162       0      0.21
     32.77  0.0662       0    0.2074
     32.87    0.05       0    0.2003
    33.036  0.5671       0    0.1838
     33.17  0.2333       0    0.1718
